Date;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;CH;Hospitalized_ZH;Hospitalized_CH;AG_diff;AG_pc;AG_diff_pc;AI_diff;AI_pc;AI_diff_pc;AR_diff;AR_pc;AR_diff_pc;BE_diff;BE_pc;BE_diff_pc;BL_diff;BL_pc;BL_diff_pc;BS_diff;BS_pc;BS_diff_pc;FR_diff;FR_pc;FR_diff_pc;GE_diff;GE_pc;GE_diff_pc;GL_diff;GL_pc;GL_diff_pc;GR_diff;GR_pc;GR_diff_pc;JU_diff;JU_pc;JU_diff_pc;LU_diff;LU_pc;LU_diff_pc;NE_diff;NE_pc;NE_diff_pc;NW_diff;NW_pc;NW_diff_pc;OW_diff;OW_pc;OW_diff_pc;SG_diff;SG_pc;SG_diff_pc;SH_diff;SH_pc;SH_diff_pc;SO_diff;SO_pc;SO_diff_pc;SZ_diff;SZ_pc;SZ_diff_pc;TG_diff;TG_pc;TG_diff_pc;TI_diff;TI_pc;TI_diff_pc;UR_diff;UR_pc;UR_diff_pc;VD_diff;VD_pc;VD_diff_pc;VS_diff;VS_pc;VS_diff_pc;ZG_diff;ZG_pc;ZG_diff_pc;ZH_diff;ZH_pc;ZH_diff_pc;CH_diff;CH_pc;CH_diff_pc
2020-02-25;;;;;;;;0;;;;;;;;;;;;;0;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;
2020-02-26;1;;;;;;;1;;2;;;;;;;;;;;1;;;;;;5;;1;;1.47448E-06;;;;;;;;;;;;;;;;;;;;1;2.01919E-06;2.01919E-06;;;;;1.00817E-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2.83011E-06;2.83011E-06;;;;;;;;;;;;;;;;5;5.85383E-07;5.85383E-07
2020-02-27;1;;;;;1;;1;;2;1;;;;;;;;;;1;;;;;2;9;;5;0;1.47448E-06;0;;;;;;;;;;;;;;5.13437E-06;;;;;0;2.01919E-06;0;;;;0;1.00817E-05;0;;1.36205E-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2.83011E-06;0;;;;;;;;;;;;;;1.31495E-06;;4;1.05369E-06;4.68307E-07
2020-02-28;1;;;1;1;1;;4;;6;1;;;;;;;;;;1;;;1;;2;19;;16;0;1.47448E-06;0;;;;;;;;9.66205E-07;;;3.47063E-06;;0;5.13437E-06;0;;;;3;8.07675E-06;6.05756E-06;;;;4;3.02451E-05;2.01634E-05;0;1.36205E-05;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2.83011E-06;0;;;;;;;;2.90736E-06;;;;;0;1.31495E-06;0;10;2.22446E-06;1.17077E-06
2020-02-29;3;;;;2;1;0;8;;6;1;;;;;;;;;;2;;;1;0;6;31;;19;2;4.42343E-06;2.94895E-06;;;;;;;;9.66205E-07;;1;6.94126E-06;3.47063E-06;0;5.13437E-06;0;;0;;4;1.61535E-05;8.07675E-06;;;;0;3.02451E-05;0;0;1.36205E-05;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5.66022E-06;2.83011E-06;;;;;;;0;2.90736E-06;0;;0;;4;3.94486E-06;2.6299E-06;12;3.62938E-06;1.40492E-06
2020-03-01;4;;;2;2;1;1;9;;6;1;;1;;;;;;;;2;;;2;0;7;38;;20;1;5.8979E-06;1.47448E-06;;;;;;;1;1.93241E-06;9.66205E-07;0;6.94126E-06;0;0;5.13437E-06;0;1;3.13761E-06;3.13761E-06;1;1.81727E-05;2.01919E-06;;;;0;3.02451E-05;0;0;1.36205E-05;0;;;;;5.61911E-06;;;;;;;;;;;;;;;;;;;;;;;0;5.66022E-06;0;;;;;;;1;5.81471E-06;2.90736E-06;0;0;0;1;4.60233E-06;6.57476E-07;7;4.44891E-06;8.19537E-07
2020-03-02;7;;;4;2;1;2;10;;9;1;;1;;;1;;;;;4;;;4;0;10;56;;29;3;1.03213E-05;4.42343E-06;;;;;;;2;3.86482E-06;1.93241E-06;0;6.94126E-06;0;0;5.13437E-06;0;1;6.27522E-06;3.13761E-06;1;2.01919E-05;2.01919E-06;;;;3;4.53677E-05;1.51226E-05;0;1.36205E-05;0;;;;0;5.61911E-06;0;;;;;;;;1.96968E-06;;;;;;;;;;;;;;2;1.13204E-05;5.66022E-06;;;;;;;2;1.16294E-05;5.81471E-06;0;0;0;3;6.57476E-06;1.97243E-06;18;6.55629E-06;2.10738E-06
2020-03-03;7;;;;2;3;2;13;;9;1;;1;;;1;;;1;;8;;;4;1;13;70;;36;0;1.03213E-05;0;;;;;;;;3.86482E-06;;0;6.94126E-06;0;2;1.54031E-05;1.02687E-05;0;6.27522E-06;0;3;2.62494E-05;6.05756E-06;;;;0;4.53677E-05;0;0;1.36205E-05;0;;;;0;5.61911E-06;0;;;;;;;0;1.96968E-06;0;;;;;;;;6.28279E-06;;;;;4;2.26409E-05;1.13204E-05;;;;;;;0;1.16294E-05;0;1;7.88413E-06;7.88413E-06;3;8.54719E-06;1.97243E-06;14;8.19537E-06;1.63907E-06
2020-03-04;10;;;6;2;3;4;15;;12;1;1;8;;;1;;;3;;13;;;5;1;15;100;;46;3;1.47448E-05;4.42343E-06;;;;;;;2;5.79723E-06;1.93241E-06;0;6.94126E-06;0;0;1.54031E-05;0;2;1.25504E-05;6.27522E-06;2;3.02878E-05;4.03837E-06;;;;3;6.04903E-05;1.51226E-05;0;1.36205E-05;0;;2.44166E-06;;7;4.49529E-05;3.93338E-05;;;;;;;0;1.96968E-06;0;;;;;;;2;1.88484E-05;1.25656E-05;;;;5;3.67914E-05;1.41506E-05;;;;;;;1;1.45368E-05;2.90736E-06;0;7.88413E-06;0;2;9.86214E-06;1.31495E-06;30;1.17077E-05;3.5123E-06
2020-03-05;11;;1;;6;8;6;20;;14;2;2;9;;;1;;;;1;25;;;6;2;23;146;;50;1;1.62192E-05;1.47448E-06;;;;;1.81048E-05;;;5.79723E-06;;4;2.08238E-05;1.38825E-05;5;4.10749E-05;2.56718E-05;2;1.88257E-05;6.27522E-06;5;4.03837E-05;1.00959E-05;;;;2;7.0572E-05;1.00817E-05;1;2.72409E-05;1.36205E-05;1;4.88333E-06;2.44166E-06;1;5.0572E-05;5.61911E-06;;;;;;;0;1.96968E-06;0;;;;;;;;1.88484E-05;;;3.617E-06;;12;7.07528E-05;3.39613E-05;;;;;;;1;1.74441E-05;2.90736E-06;1;1.57683E-05;7.88413E-06;8;1.51219E-05;5.25981E-06;46;1.70932E-05;5.38553E-06
