block,treatment,plates,base,additive
B01,T3,13,1,1
B01,T8,20,2,0
B01,T4,7,1,0
B02,T4,6,1,0
B02,T9,29,3,0
B02,T2,17,1,2
B03,T3,15,1,1
B03,T6,23,2,2
B03,T9,31,3,0
B04,T9,31,3,0
B04,T5,26,2,3
B04,T1,20,1,3
B05,T2,16,1,2
B05,T7,21,2,1
B05,T6,23,2,2
B06,T6,23,2,2
B06,T5,26,2,3
B06,T4,6,1,0
B07,T9,28,3,0
B07,T8,19,2,0
B07,T7,21,2,1
B08,T7,20,2,1
B08,T1,20,1,3
B08,T4,7,1,0
B09,T6,24,2,2
B09,T8,19,2,0
B09,T1,20,1,3
B10,T5,26,2,3
B10,T8,19,2,0
B10,T2,17,1,2
B11,T5,24,2,3
B11,T3,14,1,1
B11,T7,21,2,1
B12,T3,11,1,1
B12,T2,17,1,2
B12,T1,19,1,3
