WineID;name;color;Alc Vol%;total acids g/l;pH;Density Rho kg/m3;acetic acid mg/l;Glucose
W1;Blauburgunder;red;12.9;4.74;3.8;990.7;0.37;0.31
W2;Blauburgunder;red;12.9;4.74;3.8;990.7;0.37;0.31
W3;Blauburgunder;red;12.9;4.74;3.8;990.7;0.37;0.31
W4;Dornfelder;red;12.3;5.34;3.5;990.4;0.33;0.18
W5;Dornfelder;red;12.3;5.34;3.5;990.4;0.33;0.18
W6;Dornfelder;red;12.3;5.34;3.5;990.4;0.33;0.18
W7;Garanoir_Gamaret;red;12.1;5.04;3.56;992;0.34;0.12
W8;Garanoir_Gamaret;red;12.1;5.04;3.56;992;0.34;0.12
W9;Garanoir_Gamaret;red;12.1;5.04;3.56;992;0.34;0.12
W10;Garanoir_Gamaret;red;12.6;4.95;3.67;991.7;0.34;0.25
W11;Garanoir_Gamaret;red;12.6;4.95;3.67;991.7;0.34;0.25
W12;Garanoir_Gamaret;red;12.6;4.95;3.67;991.7;0.34;0.25
W13;Merlot 2008;red;12.7;5.37;3.52;992.9;0.34;0.12
W14;Merlot 2008;red;12.7;5.37;3.52;992.9;0.34;0.12
W15;Merlot 2008;red;12.6;5.13;3.5;992.6;0.36;0.13
W16;Merlot 2008;red;12.7;5.37;3.52;992.9;0.34;0.12
W17;Merlot 2009;red;12.6;5.13;3.5;992.6;0.36;0.13
W18;Merlot 2009;red;12.6;4.95;3.67;993.5;0.38;0.16
W19;Merlot 2009;red;12.6;4.95;3.67;993.5;0.38;0.16
W20;Merlot 2009;red;12.6;4.95;3.67;993.5;0.38;0.16
W21;Pino noir;red;13.1;4.53;3.79;991.2;0.44;0.2
W22;Pino noir;red;13.1;4.53;3.79;991.2;0.44;0.2
W23;Pino noir;red;13.1;4.53;3.79;991.2;0.44;0.2
W24;Rose;rose;11.6;6;3.51;992.9;0.27;0.23
W25;Rose;rose;11.6;6;3.51;992.9;0.27;0.23
W26;Rose;rose;11.6;6;3.51;992.9;0.27;0.23
W27;Rose;rose;12.7;4.94;3.55;989.5;0.56;0.14
W28;Rose;rose;12.7;4.94;3.55;989.5;0.56;0.14
W29;Rose;rose;12.7;4.94;3.55;989.5;0.56;0.14
W30;Zweigelt;red;12.7;5.4;3.54;992.1;0.38;0.01
W31;Zweigelt;red;12.7;5.4;3.54;992.1;0.38;0.01
W32;Zweigelt;red;12.7;5.4;3.54;992.1;0.38;0.01
W33;Blanc de Gris et noir 2009;white;13.7;5.23;3.47;988.4;0.25;0.15
W34;Blanc de Gris et noir 2009;white;13.7;5.23;3.47;988.4;0.25;0.15
W35;Blanc de Gris et noir 2009;white;13.7;5.23;3.47;988.4;0.25;0.15
W36;Chardonay;white;12.7;5.98;3.43;989.7;0.33;0.12
W37;Chardonay;white;12.7;5.98;3.43;989.7;0.33;0.12
W38;Chardonay;white;12.7;5.98;3.43;989.7;0.33;0.12
W39;Cuvee Blanche;white;13;4.68;3.54;989.2;0.15;0.24
W40;Cuvee Blanche;white;13;4.68;3.54;989.2;0.15;0.24
W41;Cuvee Blanche;white;13;4.68;3.54;989.2;0.15;0.24
W42;Cuvee Blanche;white;12.2;4.97;3.48;988.7;0.29;0.28
W43;Cuvee Blanche;white;12.2;4.97;3.48;988.7;0.29;0.28
W44;Cuvee Blanche;white;12.2;4.97;3.48;988.7;0.29;0.28
W45;Kerner;white;13.2;5.4;3.33;988.2;0.17;0.24
W46;Kerner;white;13.2;5.4;3.33;988.2;0.17;0.24
W47;Kerner;white;13.2;5.4;3.33;988.2;0.17;0.24
W48;Kerner;white;14.3;5.05;3.53;987.1;0.12;0.05
W49;Kerner;white;14.3;5.05;3.53;987.1;0.12;0.05
W50;Kerner;white;14.3;5.05;3.53;987.1;0.12;0.05
W51;Rauschling;white;12.1;5.1;3.45;989.6;0.2;0.29
W52;Rauschling;white;12.1;5.1;3.45;989.6;0.2;0.29
W53;Rauschling;white;12.1;5.1;3.45;989.6;0.2;0.29
W54;Rauschling;white;12.1;5.1;3.45;989.6;0.2;0.29
W55;Rheinriesling;white;11.5;6.93;3.18;993;0.27;2.56
W56;Rheinriesling;white;11.5;6.93;3.18;993;0.27;2.56
W57;Rheinriesling;white;11.5;6.93;3.18;993;0.27;2.56
W58;RxS;white;12.3;4.8;3.42;989.2;0.16;0.03
W59;RxS;white;12.3;4.8;3.42;989.2;0.16;0.03
W60;RxS;white;12.3;4.8;3.42;989.2;0.16;0.03
W61;RxS;white;12.1;4.95;3.45;989.6;0.23;0.57
W62;RxS;white;12.1;4.95;3.45;989.6;0.23;0.57
W63;RxS;white;12.1;4.95;3.45;989.6;0.23;0.57
W64;RxS;white;12.1;4.95;3.45;989.6;0.23;0.57
W65;Sauvignon Blanc;white;13;5.22;3.45;988.7;0.16;0.5
W66;Sauvignon Blanc;white;13;5.22;3.45;988.7;0.16;0.5
W67;Sauvignon Blanc;white;13;5.22;3.45;988.7;0.16;0.5
W68;Sauvignon Blanc;white;13;5.22;3.45;988.7;0.16;0.5
