,incisor1,incisor2,canine,premolar1,premolar2,molar1,molar2,molar3
oldWorldMonkeys,2,1,2,3,2,1,2,3
newWorldMonkeys,2,1,3,3,2,1,3,3
marmosets,2,1,3,2,2,1,3,2
insectivorousBats,2,1,3,3,3,1,3,3
frugivorousBats,2,1,2,3,2,1,3,3
hedgehogs,3,1,3,3,2,1,2,3
moles,3,1,4,3,3,1,4,3
cats,3,1,3,1,3,1,2,1
dogs,3,1,4,2,3,1,4,3
raccoons,3,1,4,2,3,1,4,2
hyaenas,3,1,4,1,3,1,3,1
wiesels,3,1,4,1,3,1,4,2
earedSeals,3,1,4,1,2,1,4,1
ordinarySeals,3,1,4,1,3,1,4,1
walruses,1,1,3,0,0,1,3,0
hippopotamuses,2,1,4,3,2,1,4,3
pigs,3,1,4,3,3,1,4,3
camels,1,1,3,3,3,1,2,3
chevrotains,0,1,3,3,3,1,3,3
hollowHornedRuminants,0,0,3,3,3,1,3,3
tapirs,3,1,4,3,3,1,3,3
horses,3,1,3,3,3,1,3,3
rabbits,2,0,3,3,1,0,2,3
